# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "./Fixed_analysis/mm10.refGene.gtf" "-o" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/mT5-RNAseq_gene_counts_fixed.txt" "-t" "exon" "-g" "gene_id" "-T" "8" "-p" "-s" "0" "--ignoreDup" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Kras242_S117.marked.bam" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Kras467_S118.marked.bam" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Rac1_11_S119.marked.bam" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Rac1_14_S120.marked.bam" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Ren2_S125.marked.bam" "./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Ren_S116.marked.bam" 
Geneid	Chr	Start	End	Strand	Length	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Kras242_S117.marked.bam	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Kras467_S118.marked.bam	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Rac1_11_S119.marked.bam	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Rac1_14_S120.marked.bam	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Ren2_S125.marked.bam	./Fixed_analysis/3_31_25_FIxed_FeatureCounts/Marked_BAM_FromFixedAlign/mT5_Ren_S116.marked.bam
Zc3h14	chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12	98746968;98746968;98746968;98746968;98746968;98746968;98746968;98746968;98746968;98746968;98747480;98747480;98747480;98747480;98747480;98747480;98747480;98747480;98747480;98747480;98752778;98752778;98752778;98752778;98752778;98752778;98756185;98756185;98756185;98756185;98756185;98756185;98756185;98756185;98756185;98756185;98757009;98757009;98757009;98757009;98757009;98757009;98757009;98757009;98757009;98757009;98758512;98758512;98758512;98758512;98758512;98758512;98758512;98758512;98758512;98758512;98759719;98759719;98759719;98759719;98759719;98759719;98759719;98759719;98759719;98759719;98760310;98760310;98760310;98760310;98760310;98760310;98760310;98760310;98760310;98760310;98763823;98763823;98763823;98763823;98763823;98763823;98763823;98763823;98763823;98763823;98771022;98774245;98774245;98774245;98774245;98774245;98774245;98774245;98779108;98779108;98779108;98779108;98780048;98780048;98780048;98780048;98783582;98783582;98783582;98783582;98783582;98783582;98783582;98783582;98783582;98783582;98783582;98784916;98784916;98784916;98784916;98784916;98784916;98784916;98784916;98784916;98784916;98784916;98785318;98785318;98785318;98785318;98785318;98785318;98785318;98785318;98785330;98785330;98785330;98785635;98785635;98785635;98785635;98785635;98785635;98785635;98785635;98785635;98785635;98785635;98786575;98786575;98786575;98786575;98786575;98786575;98786575;98786575;98786575;98786575;98786575	98747158;98747158;98747158;98747158;98747158;98747158;98747158;98747158;98747158;98747158;98747522;98747522;98747522;98747522;98747522;98747522;98747522;98747522;98747522;98747522;98752892;98752892;98752892;98752892;98752892;98752892;98756225;98756225;98756225;98756225;98756225;98756225;98756225;98756225;98756225;98756225;98757204;98757204;98757204;98757204;98757204;98757204;98757204;98757204;98757204;98757204;98758941;98758941;98758941;98758941;98758941;98758941;98758941;98758941;98758941;98758941;98759879;98759879;98759879;98759879;98759879;98759879;98759879;98759879;98759879;98759879;98760410;98760410;98760410;98760410;98760410;98760410;98760410;98760410;98760410;98760410;98763978;98763978;98763978;98763978;98763978;98763978;98763978;98763978;98763978;98763978;98771649;98774319;98774319;98774319;98774319;98774319;98774319;98774319;98779267;98779267;98779267;98779267;98780280;98780280;98780280;98780280;98783702;98783702;98783702;98783702;98783702;98783702;98783702;98783702;98783702;98783702;98783702;98785052;98785052;98785052;98785052;98785052;98785052;98785052;98785052;98785052;98785052;98785052;98785406;98785406;98785406;98785406;98785406;98785406;98785406;98785406;98785406;98785406;98785406;98785741;98785741;98785741;98785741;98785741;98785741;98785741;98785741;98785741;98785741;98785741;98787774;98787774;98787774;98787774;98787774;98787774;98787774;98787774;98787774;98787774;98787774	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4184	12618	15508	12547	17486	18454	18906
Troap	chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15;chr15	99074973;99074973;99075350;99075350;99075608;99075608;99077288;99077288;99077529;99077529;99077832;99077832;99078247;99078247;99078784;99078784;99080866;99080866;99081191;99081191;99081835;99081835;99082126;99082126;99082909;99082909;99083228;99083228	99075092;99075067;99075498;99075498;99075797;99075797;99077445;99077445;99077666;99077666;99077911;99077911;99078323;99078323;99078902;99078902;99080949;99080949;99081250;99081250;99081969;99081969;99082705;99082705;99083102;99083102;99083409;99083409	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2266	525	588	614	1153	2340	2233
Clca2	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	145070263;145072137;145075627;145077869;145081196;145084086;145084929;145086296;145087921;145090701;145092119;145095116;145097758;145098779	145071722;145072367;145075797;145078139;145081420;145084192;145085106;145086526;145088148;145090860;145092227;145095266;145097895;145099106	-;-;-;-;-;-;-;-;-;-;-;-;-;-	3988	22	18	2	14	8	14
1810013L24Rik	chr16;chr16;chr16;chr16	8830100;8831321;8842968;8855794	8830685;8831401;8843243;8858924	+;+;+;+	4074	2842	3670	3538	5358	3119	3173
Srsf7	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	80200080;80200080;80200080;80200080;80200080;80200080;80202169;80202169;80202169;80202169;80202691;80202691;80202691;80202691;80202691;80202691;80204122;80204122;80204131;80204131;80204131;80204155;80204313;80204313;80204313;80204313;80204313;80204313;80204622;80205262;80205262;80205262;80205262;80205262;80205262;80205848;80205848;80205848;80205848;80205848;80205848;80207175;80207175;80207175;80207175;80207175;80207175	80201602;80201602;80201602;80201602;80201602;80201602;80202204;80202204;80202204;80202204;80202744;80202744;80202744;80202744;80202744;80202744;80204232;80204232;80204232;80204232;80204232;80204232;80204387;80204387;80204387;80204387;80204387;80204387;80205081;80205438;80205438;80205438;80205438;80205438;80205438;80206028;80206028;80206028;80206028;80206028;80206028;80207305;80207305;80207305;80207305;80207305;80207305	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2748	24478	24829	24181	39471	25113	30661
Fignl2	chr15	101050192	101054399	-	4208	808	926	592	1109	1106	787
Sema6a	chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18	47245254;47245254;47270609;47276586;47276586;47279116;47279116;47281120;47281120;47281292;47281292;47281795;47281795;47283309;47283309;47287423;47287423;47289976;47289976;47291096;47291096;47291888;47291888;47294020;47294020;47298186;47298186;47299077;47299077;47300084;47300084;47304104;47304104;47306356;47306356;47368238;47368238	47249584;47249584;47270773;47276606;47276606;47279174;47279174;47281200;47281200;47281432;47281432;47281971;47281971;47283464;47283464;47287554;47287554;47290193;47290193;47291184;47291184;47292007;47292007;47294110;47294110;47298287;47298287;47299139;47299139;47300144;47300144;47304221;47304221;47306493;47306493;47368868;47368870	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6896	646	698	349	220	1427	1300
Anapc15	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	101881325;101885860;101896331;101896331;101896331;101897733;101897733;101897733;101897733;101897942;101897942;101897942;101897942;101897947;101898554;101898554;101898554;101898554;101898554;101898900;101898900;101898900;101898900;101898900;101899194;101899194;101899194;101899194;101899194	101881402;101885937;101896450;101896450;101896450;101897817;101897787;101897817;101897817;101898071;101898071;101898071;101898071;101898071;101898613;101898613;101898613;101898613;101898613;101899037;101899037;101899037;101899037;101899037;101899545;101899545;101899545;101899545;101899545	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1041	1203	1294	1112	2087	1775	2344
Misp3	chr8;chr8;chr8	84010228;84010711;84011141	84010492;84010772;84011720	-;-;-	907	366	563	171	248	411	512
Nmb	chr7;chr7;chr7;chr7;chr7;chr7	80902227;80902227;80904134;80904134;80904821;80904821	80902503;80902498;80904306;80904306;80905062;80905062	-;-;-;-;-;-	692	105	153	77	205	131	130
